Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,24.746229620306494,24.75733822078495,23.848709278537115,24.288583755493164,212818400,0.0,0.0
2015-01-05 00:00:00-05:00,24.05754506728379,24.137522265866863,23.417729173554108,23.604341506958008,257142000,0.0,0.0
2015-01-06 00:00:00-05:00,23.668756205006424,23.86647704595982,23.24443284626176,23.606552124023438,263188400,0.0,0.0
2015-01-07 00:00:00-05:00,23.81538275875591,24.037541186337343,23.704303544965192,23.937570571899414,160423600,0.0,0.0
2015-01-08 00:00:00-05:00,24.266365009745527,24.915067190627752,24.148619623170898,24.8573055267334,237458000,0.0,0.0
2015-01-09 00:00:00-05:00,25.030586292520212,25.159438570127115,24.48407683690557,24.883962631225586,214798000,0.0,0.0
2015-01-12 00:00:00-05:00,25.015037630606752,25.021702111984663,24.17083665569823,24.27080726623535,198603200,0.0,0.0
2015-01-13 00:00:00-05:00,24.75511097972112,25.05946860281435,24.195272548447814,24.486299514770508,268367600,0.0,0.0
2015-01-14 00:00:00-05:00,24.2241587444296,24.546287834288727,24.104192972327255,24.39299964904785,195826400,0.0,0.0
2015-01-15 00:00:00-05:00,24.43742071611317,24.450749675943126,23.69541257339217,23.73095703125,240056000,0.0,0.0
2015-01-16 00:00:00-05:00,23.777616704224478,23.899804519790266,23.371066366906675,23.546571731567383,314053200,0.0,0.0
2015-01-20 00:00:00-05:00,23.957564225054288,24.208604335161315,23.659872743076072,24.153064727783203,199599600,0.0,0.0
2015-01-21 00:00:00-05:00,24.204161237587133,24.672915679210643,24.05309343135395,24.33745765686035,194303600,0.0,0.0
2015-01-22 00:00:00-05:00,24.495185113053786,24.986154962727397,24.375219376333433,24.970603942871094,215185600,0.0,0.0
2015-01-23 00:00:00-05:00,24.948394694862046,25.270523770445585,24.777331738637265,25.099462509155273,185859200,0.0,0.0
2015-01-26 00:00:00-05:00,25.268297045568367,25.406035869763418,25.05946929299839,25.126115798950195,222460000,0.0,0.0
2015-01-27 00:00:00-05:00,24.97504574741797,24.98837640334662,24.2219289424083,24.246366500854492,382274800,0.0,0.0
2015-01-28 00:00:00-05:00,26.132499705095995,26.24135857362099,25.61709213256836,25.61709213256836,585908400,0.0,0.0
2015-01-29 00:00:00-05:00,25.841471210548402,26.47906658146117,25.672630311520884,26.414640426635742,337745600,0.0,0.0
2015-01-30 00:00:00-05:00,26.30355786641712,26.659011007530673,25.959211629596137,26.0280818939209,334982000,0.0,0.0
2015-02-02 00:00:00-05:00,26.225799913021184,26.47461623735488,25.788147591911834,26.354650497436523,250956400,0.0,0.0
2015-02-03 00:00:00-05:00,26.325770520611485,26.456843163643637,26.128049679300354,26.359094619750977,207662800,0.0,0.0
2015-02-04 00:00:00-05:00,26.325772839941987,26.772311739909934,26.283562197650888,26.561260223388672,280598800,0.0,0.0
2015-02-05 00:00:00-05:00,26.76868838851386,26.815527285699677,26.59695200478653,26.75084686279297,168984800,0.1175,0.0
2015-02-06 00:00:00-05:00,26.768685106844938,26.819983953766112,26.418519895846156,26.525577545166016,174826400,0.0,0.0
2015-02-09 00:00:00-05:00,26.44082193108112,26.728535823049864,26.414057096227165,26.701772689819336,155559200,0.0,0.0
2015-02-10 00:00:00-05:00,26.802139328739504,27.243749769386245,26.79991020192898,27.214754104614258,248034000,0.0,0.0
2015-02-11 00:00:00-05:00,27.382031909316506,27.861557949851104,27.32181315149291,27.852636337280273,294247200,0.0,0.0
2015-02-12 00:00:00-05:00,28.11581792463633,28.432529214905024,28.00653114859303,28.205032348632812,297898000,0.0,0.0
2015-02-13 00:00:00-05:00,28.387921486223178,28.387921486223178,28.024374703566266,28.34331512451172,217088800,0.0,0.0
2015-02-17 00:00:00-05:00,28.434756747894973,28.744777236769618,28.307626753854027,28.510589599609375,252609600,0.0,0.0
2015-02-18 00:00:00-05:00,28.465985716325328,28.722476570465375,28.425839306967546,28.709095001220703,179566800,0.0,0.0
